Score,Non- Hispanic white,Black,Hispanic,Asian
0,98.54,99.67,99.05,94.77
0.5,97.95,99.23,98.49,94.48
1,97.36,98.80,97.93,94.19
1.5,96.77,98.36,97.38,93.90
2,96.18,97.93,96.82,93.61
2.5,95.58,97.49,96.26,93.32
3,94.99,97.06,95.71,93.03
3.5,94.40,96.62,95.15,92.74
4,93.81,96.18,94.60,92.45
4.5,93.22,95.75,94.04,92.15
5,92.63,95.31,93.48,91.86
5.5,92.04,94.88,92.93,91.57
6,91.45,94.44,92.37,91.28
6.5,90.86,94.01,91.82,90.99
7,90.27,93.57,91.26,90.70
7.5,89.68,93.14,90.70,90.41
8,89.09,92.70,90.15,90.12
8.5,88.50,92.27,89.59,89.83
9,87.91,91.83,89.04,89.54
9.5,87.32,91.39,88.48,89.25
10,86.73,90.96,87.92,88.96
10.5,86.05,90.71,87.42,87.46
11,85.37,90.46,86.92,85.96
11.5,84.69,90.21,86.41,84.46
12,84.01,89.96,85.91,82.96
12.5,83.33,89.70,85.41,81.46
13,82.65,89.45,84.90,79.96
13.5,81.97,89.20,84.40,78.45
14,81.30,88.95,83.89,76.95
14.5,80.62,88.70,83.39,75.45
15,79.94,88.45,82.89,73.95
15.5,79.26,88.20,82.38,72.45
16,78.58,87.95,81.88,70.95
16.5,77.90,87.70,81.38,69.45
17,77.22,87.45,80.87,67.95
17.5,76.54,87.20,80.37,66.45
18,75.86,86.94,79.87,64.95
18.5,75.18,86.69,79.36,63.45
19,74.50,86.44,78.86,61.95
19.5,73.82,86.19,78.35,60.45
20,73.14,85.94,77.85,58.95
20.5,71.27,84.17,75.88,57.78
21,69.41,82.39,73.91,56.60
21.5,67.54,80.62,71.95,55.43
22,65.68,78.84,69.98,54.26
22.5,63.81,77.07,68.01,53.09
23,61.95,75.29,66.04,51.91
23.5,60.08,73.52,64.08,50.74
24,58.22,71.75,62.11,49.57
24.5,56.35,69.97,60.14,48.40
25,54.49,68.20,58.17,47.22
25.5,52.62,66.42,56.20,46.05
26,50.76,64.65,54.24,44.88
26.5,48.89,62.87,52.27,43.71
27,47.03,61.10,50.30,42.53
27.5,45.16,59.33,48.33,41.36
28,43.30,57.55,46.36,40.19
28.5,41.43,55.78,44.40,39.02
29,39.57,54.00,42.43,37.84
29.5,37.70,52.23,40.46,36.67
30,35.84,50.45,38.49,35.50
30.5,34.91,49.37,37.74,34.37
31,33.99,48.29,36.99,33.24
31.5,33.07,47.21,36.24,32.11
32,32.15,46.12,35.49,30.98
32.5,31.23,45.04,34.74,29.85
33,30.31,43.96,33.99,28.72
33.5,29.39,42.88,33.24,27.59
34,28.47,41.80,32.49,26.46
34.5,27.55,40.71,31.74,25.33
35,26.63,39.63,30.99,24.20
35.5,25.71,38.55,30.24,23.08
36,24.79,37.47,29.49,21.95
